time,price
1614243600,49725
1614247200,49013
1614250800,49624
1614254400,50350
1614258000,51540
1614261600,51378
1614265200,50862
1614268800,50855
1614272400,50648
1614276000,49536
1614279600,49525
1614283200,49463
1614286800,49139
1614290400,48055
1614294000,48175
1614297600,47095
1614301200,46756
1614304800,46469
1614308400,47339
1614312000,47350
1614315600,47015
1614319200,45501
1614322800,46079
1614326400,44929
1614330000,45732
1614333600,46425
1614337200,46691
1614340800,46425
1614344400,46808
1614348000,45950
1614351600,46865
1614355200,47626
1614358800,48171
1614362400,47679
1614366000,47313
1614369600,46938
1614373200,46253
1614376800,45684
1614380400,45486
1614384000,46305
1614387600,47542
1614391200,47756
1614394800,47330
1614398400,47413
1614402000,47653
1614405600,47816
1614409200,47543
1614412800,47148
1614416400,46617
1614420000,46669
1614423600,46816
1614427200,47306
1614430800,47448
1614434400,47469
1614438000,47085
1614441600,46550
1614445200,46930
1614448800,47081
1614452400,47162
1614456000,47469
1614459600,47080
1614463200,46862
1614466800,45850
1614470400,46164
1614474000,46397
1614477600,46470
1614481200,45411
1614484800,44665
1614488400,44437
1614492000,44835
1614495600,44362
1614499200,44410
1614502800,44879
1614506400,45108
1614510000,45207
1614513600,45316
1614517200,44802
1614520800,44178
1614524400,44604
1614528000,43404
1614531600,43550
1614535200,43158
1614538800,43710
1614542400,44470
1614546000,44960
1614549600,45249
1614553200,45257
1614556800,45225
1614560400,46311
1614564000,46244
1614567600,46499
1614571200,46381
1614574800,46514
1614578400,46225
1614582000,45888
1614585600,46337
1614589200,47122
1614592800,47419
1614596400,47675
1614600000,47825
1614603600,48016
1614607200,47878
1614610800,48142
1614614400,49329
1614618000,49159
1614621600,48626
1614625200,48500
1614628800,48302
1614632400,48582
1614636000,48857
1614639600,49182
1614643200,49635
1614646800,49400
1614650400,49421
1614654000,49296
1614657600,49011
1614661200,49181
1614664800,48700
1614668400,48671
1614672000,48364
1614675600,48901
1614679200,49161
1614682800,48700
1614686400,48875
1614690000,48828
1614693600,49019
1614697200,48918
1614700800,48694
1614704400,47534
1614708000,47893
1614711600,47713
1614715200,47471
1614718800,47537
1614722400,47438
1614726000,47825
1614729600,48480
1614733200,48569
1614736800,48878
1614740400,48614
1614744000,48736
1614747600,49159
1614751200,49100
1614754800,49600
1614758400,49830
1614762000,50940
1614765600,51494
1614769200,51439
1614772800,51675
1614776400,52586
1614780000,51554
1614783600,50761
1614787200,50788
1614790800,51121
1614794400,51329
1614798000,51255
1614801600,50832
1614805200,50543
1614808800,50924
1614812400,50573
1614816000,50367
1614819600,50900
1614823200,51494
1614826800,50801
1614830400,49599
1614834000,49041
1614837600,49682
1614841200,49395
1614844800,49709
1614848400,50241
1614852000,49100
1614855600,49235
1614859200,49329
1614862800,49382
1614866400,49658
1614870000,49444
1614873600,49408
1614877200,49700
1614880800,48507
1614884400,47554
1614888000,47950
1614891600,48221
1614895200,47908
1614898800,48228
1614902400,48363
1614906000,46802
1614909600,46690
1614913200,47092
1614916800,47289
1614920400,46700
1614924000,47148
1614927600,47395
1614931200,47413
1614934800,46613
1614938400,47052
1614942000,47074
1614945600,47507
1614949200,47650
1614952800,48082
1614956400,48147
1614960000,47879
1614963600,47643
1614967200,48107
1614970800,48500
1614974400,49322
1614978000,49213
1614981600,49067
1614985200,49078
1614988800,48760
1614992400,48808
1614996000,48647
1614999600,48710
1615003200,48642
1615006800,48443
1615010400,48500
1615014000,48936
1615017600,48840
1615021200,48631
1615024800,48299
1615028400,48003
1615032000,48147
1615035600,47628
1615039200,47325
1615042800,47570
1615046400,47277
1615050000,47771
1615053600,48263
1615057200,48492
1615060800,48391
1615064400,48537
1615068000,48600
1615071600,48950
1615075200,48914
1615078800,49250
1615082400,49162
1615086000,49575
1615089600,49585
1615093200,49446
1615096800,49350
1615100400,49487
1615104000,50062
1615107600,50424
1615111200,50958
1615114800,50605
1615118400,50729
1615122000,50786
1615125600,50783
1615129200,50667
1615132800,50600
1615136400,51056
1615140000,51083
1615143600,50406
1615147200,50365
1615150800,50042
1615154400,50093
1615158000,50509
1615161600,50999
1615165200,51509
1615168800,51560
1615172400,50731
1615176000,50625
1615179600,50472
1615183200,50800
1615186800,50305
1615190400,49780
1615194000,49888
1615197600,49899
1615201200,50102
1615204800,50525
1615208400,50302
1615212000,51000
1615215600,50788
1615219200,51100
1615222800,50682
1615226400,50825
1615230000,50824
1615233600,51336
1615237200,51775
1615240800,51880
1615244400,51625
1615248000,52407
1615251600,52066
1615255200,53637
1615258800,53591
1615262400,53893
1615266000,53716
1615269600,54277
1615273200,53856
1615276800,53550
1615280400,54050
1615284000,54148
1615287600,54167
1615291200,54260
1615294800,53750
1615298400,54795
1615302000,54523
1615305600,54106
1615309200,54107
1615312800,53780
1615316400,53882
1615320000,54116
1615323600,54341
1615327200,54286
1615330800,54830
1615334400,54887
1615338000,55550
1615341600,54705
1615345200,53944
1615348800,53484
1615352400,53665
1615356000,53680
1615359600,53866
1615363200,54215
1615366800,54663
1615370400,55245
1615374000,54829
1615377600,54848
1615381200,55216
1615384800,56285
1615388400,56156
1615392000,56382
1615395600,57019
1615399200,56864
1615402800,56737
1615406400,56744
1615410000,56260
1615413600,56902
1615417200,56912
1615420800,55853
1615424400,55609
1615428000,55764
1615431600,56320
1615435200,55980
1615438800,55817
1615442400,55233
1615446000,55525
1615449600,55017
1615453200,54738
1615456800,54477
1615460400,55547
1615464000,56243
1615467600,56286
1615471200,56938
1615474800,56788
1615478400,56373
1615482000,56882
1615485600,56827
1615489200,57525
1615492800,56844
1615496400,57500
1615500000,57619
1615503600,57899
1615507200,57814
1615510800,57398
1615514400,56916
1615518000,56965
1615521600,57113
1615525200,56711
1615528800,57156
1615532400,57045
1615536000,56699
1615539600,56515
1615543200,56550
1615546800,56705
